symptoms,doctor_specialty
"coughing blood, persistent cough, weight gain",Pulmonologist
"constipation, nausea",Gastroenterologist
"nausea, fever",General Physician
"suicidal thoughts, anxiety, fever",Psychiatrist
"nausea, sore throat, runny nose",General Physician
"palpitations, sweating, shortness of breath",Cardiologist
"irregular periods, heavy bleeding, menstrual cramps, vaginal discharge",Gynecologist
abdominal pain,Gastroenterologist
"chest tightness, shortness of breath, wheezing",Pulmonologist
"watering eyes, sudden vision loss",Ophthalmologist
"sore throat, headache, runny nose",ENT Specialist
"painful periods, vaginal discharge, breast lump",Gynecologist
"dry skin, redness, hives, itching, fainting",Dermatologist
"weight gain, unexplained weight loss, fatigue",Endocrinologist
"frequent urination, excessive thirst, unexplained weight loss, reduced urine output",Endocrinologist
hair loss,Dermatologist
"cough, sore throat, runny nose",General Physician
"palpitations, sweating",Cardiologist
"penile discharge, difficulty passing urine, fever, frequent urination",Urologist
"fatigue, cough",General Physician
"sore throat, tinnitus, hearing loss",ENT Specialist
"sore throat, fatigue, cold",General Physician
"abdominal pain, headache, constipation, diarrhea",Gastroenterologist
heartburn,Gastroenterologist
"bloating, diarrhea, blood in stool",Gastroenterologist
"sore throat, runny nose, body ache, nausea, mild headache",General Physician
"radiating arm pain, chest pain, swelling of legs",Cardiologist
"fatigue, memory loss",General Physician
dizziness,Urologist
cold,General Physician
"swelling after exposure, sneezing, hives",Allergist/Immunologist
"cold, headache, loss of appetite, nausea, mild headache",General Physician
"constipation, bloating, weight gain",Gastroenterologist
"mood swings, hallucinations",Psychiatrist
"chills, fatigue, cold",General Physician
"loss of appetite, mild headache, fatigue",General Physician
irregular periods,Gynecologist
"dry skin, itching, redness, hair loss, headache",Dermatologist
"skin rash, blisters, dry skin",Dermatologist
"chills, fatigue, runny nose",General Physician
hair loss,Dermatologist
"nausea, body ache, mild headache, cough",General Physician
"high blood pressure, swelling of legs, shortness of breath, radiating arm pain, sweating",Cardiologist
weight gain,Gastroenterologist
"runny nose, hearing loss",ENT Specialist
tinnitus,ENT Specialist
"bone pain, limited range of motion, back pain",Orthopedist
"painful periods, heavy bleeding, irregular periods",Gynecologist
"itching, hives",Dermatologist
"weight gain, nasal congestion",ENT Specialist
"breast lump, menstrual cramps, vaginal discharge, fatigue",Gynecologist
"fatigue, cough, fever, headache",General Physician
"runny nose, nausea",General Physician
"scaly patches, acne, itching, blisters",Dermatologist
"menstrual cramps, irregular periods, heavy bleeding, breast lump, suicidal thoughts",Gynecologist
"mild headache, loss of appetite",General Physician
"panic attacks, insomnia",Psychiatrist
"memory loss, headache",Neurologist
"weight gain, foamy urine",Nephrologist
"weight gain, coughing blood, wheezing",Pulmonologist
"nausea, abdominal pain, weight gain, vomiting",Gastroenterologist
"panic attacks, hallucinations",Psychiatrist
"penile discharge, lower abdominal pain, burning urination",Urologist
"heavy bleeding, breast lump, pelvic pain, irregular periods, painful periods",Gynecologist
"nausea, loss of appetite",General Physician
"sore throat, cough",General Physician
"coughing blood, shortness of breath",Pulmonologist
"high blood pressure, chest pain",Cardiologist
"headache, nausea, mild headache",General Physician
"nausea, fatigue, mild headache, itchy eyes",General Physician
"tinnitus, fatigue, ear pain, hoarseness, blood in urine",ENT Specialist
"nausea, heartburn",Gastroenterologist
"joint pain, swelling",Orthopedist
"fatigue, hives",Allergist/Immunologist
sudden vision loss,Ophthalmologist
chest tightness,Pulmonologist
"headache, ear pain",ENT Specialist
"itching, hives, acne",Dermatologist
"cough, fever, nausea, sore throat, mild headache",General Physician
"swelling of feet, flank pain",Nephrologist
"acne, hives, redness",Dermatologist
"heartburn, bloating, blood in stool",Gastroenterologist
"insomnia, suicidal thoughts",Psychiatrist
"heartburn, bloating, vomiting",Gastroenterologist
"dizziness, burning urination, fever, frequent urination",Urologist
"hives, runny nose, fatigue",Allergist/Immunologist
"vaginal discharge, breast lump, pelvic pain",Gynecologist
hives,Dermatologist
"blisters, hair loss, redness, skin rash",Dermatologist
"runny nose, weight gain, headache",ENT Specialist
"body ache, headache",General Physician
constipation,Gastroenterologist
"loss of appetite, sore throat, headache, fever",General Physician
"blisters, acne, hives",Dermatologist
"suicidal thoughts, depressed mood, fever",Psychiatrist
"hoarseness, tinnitus, weight gain, nasal congestion, fatigue",ENT Specialist
"loss of consciousness, weakness",Neurologist
"skin rash, itching, acne",Dermatologist
recurrent lung infections,Pulmonologist
"swelling of legs, palpitations, shortness of breath, fainting",Cardiologist
penile discharge,Urologist
"chest tightness, weight gain, wheezing",Pulmonologist
"headache, hearing loss",ENT Specialist
"sneezing, runny nose, hives, wheezing, fatigue",Allergist/Immunologist
eye pain,Ophthalmologist
"headache, weight gain, ear pain, hoarseness",ENT Specialist
"nausea, fatigue, body ache",General Physician
"insomnia, panic attacks",Psychiatrist
"diarrhea, abdominal pain",Gastroenterologist
"hearing loss, ear pain, runny nose, headache, fever",ENT Specialist
"vomiting, bloating, blood in stool, heartburn",Gastroenterologist
"blisters, dry skin, itching, acne, hair loss",Dermatologist
"heartburn, constipation, abdominal pain, vomiting",Gastroenterologist
"sore throat, cough",General Physician
"itchy eyes, hives, wheezing, eye discharge",Allergist/Immunologist
ear pain,ENT Specialist
"numbness, weakness, dizziness, slurred speech",Neurologist
irregular periods,Gynecologist
"vomiting, constipation, diarrhea",Gastroenterologist
"fatigue, cough, nausea",General Physician
"nausea, heartburn, constipation",Gastroenterologist
"eye discharge, red eye, fever, sudden vision loss",Ophthalmologist
"numbness, weakness, fever",Neurologist
"red eye, eye discharge, fever",Ophthalmologist
"hives, runny nose, swelling after exposure",Allergist/Immunologist
"body ache, cough, runny nose, cold",General Physician
"bloating, constipation",Gastroenterologist
"swelling of legs, sweating",Cardiologist
"hearing loss, nasal congestion, hoarseness, fatigue, weight gain",ENT Specialist
headache,General Physician
"slurred speech, memory loss, loss of consciousness, numbness, weakness",Neurologist
"cold, cough, runny nose, mild headache, fatigue",General Physician
"fever, numbness, seizures",Neurologist
"heat intolerance, unexplained weight loss",Endocrinologist
"headache, seizures, numbness, fever, dizziness",Neurologist
"chest pain, shortness of breath, fainting, high blood pressure",Cardiologist
vomiting,Gastroenterologist
"foamy urine, high creatinine, swelling of feet, blood in urine",Nephrologist
"shortness of breath, swelling of legs, sweating, fainting, high blood pressure",Cardiologist
"back pain, swelling",Orthopedist
"chills, cough",General Physician
chest tightness,Pulmonologist
"runny nose, fatigue, cold",General Physician
fever,Psychiatrist
"cough, cold, fever",General Physician
"hallucinations, mood swings, depressed mood",Psychiatrist
"seizures, loss of consciousness",Neurologist
"watering eyes, fever, red eye, eye discharge",Ophthalmologist
"fever, blood in urine, difficulty passing urine",Urologist
"loss of consciousness, dizziness, slurred speech",Neurologist
"nausea, headache",General Physician
"flank pain, reduced urine output, swelling of feet, blood in urine",Nephrologist
"loss of appetite, mild headache, nausea",General Physician
"menstrual cramps, pelvic pain",Gynecologist
"fatigue, sneezing, runny nose, itchy eyes",Allergist/Immunologist
"swelling of legs, shortness of breath, sweating, fever",Cardiologist
joint pain,Orthopedist
"mild headache, loss of appetite",General Physician
"mild headache, cough, body ache",General Physician
"ear pain, fatigue",ENT Specialist
"runny nose, weight gain",ENT Specialist
"constipation, diarrhea, bloating",Gastroenterologist
"fatigue, wheezing, itchy eyes",Allergist/Immunologist
"sore throat, cold, fatigue, loss of appetite, fever",General Physician
"menstrual cramps, heavy bleeding",Gynecologist
floaters,Ophthalmologist
"joint pain, bone pain",Orthopedist
"joint pain, swelling, bone pain, back pain",Orthopedist
"chest pain, fainting, sweating",Cardiologist
"headache, diarrhea",Gastroenterologist
"slurred speech, numbness",Neurologist
"muscle weakness, back pain, limited range of motion",Orthopedist
"weight gain, headache, nausea",Gastroenterologist
"coughing blood, shortness of breath",Pulmonologist
"memory loss, seizures, fever",Neurologist
"weakness, heavy bleeding",Neurologist
"headache, body ache, mild headache, fever",General Physician
"nausea, cough, body ache",General Physician
"body ache, cough, mild headache",General Physician
"abdominal pain, diarrhea",Gastroenterologist
"back pain, stiffness, bone pain",Orthopedist
itching,Dermatologist
"hallucinations, anxiety, mood swings",Psychiatrist
"wheezing, persistent cough, coughing blood, recurrent lung infections, weight gain",Pulmonologist
"sore throat, fatigue, headache",General Physician
"eye pain, red eye",Ophthalmologist
"heartburn, bloating, diarrhea",Gastroenterologist
"diarrhea, abdominal pain",Gastroenterologist
"hair loss, scaly patches",Dermatologist
"heavy bleeding, breast lump, pelvic pain",Gynecologist
"body ache, chills",General Physician
"foamy urine, blood in urine",Nephrologist
"fatigue, frequent urination, excessive thirst",Endocrinologist
"headache, chills, loss of appetite, body ache, cough",General Physician
"nausea, cold",General Physician
"breast lump, pelvic pain, menstrual cramps",Gynecologist
"headache, fatigue, nausea, runny nose, cough",General Physician
"muscle weakness, limited range of motion, bone pain",Orthopedist
"fever, difficulty passing urine, dizziness",Urologist
"itching, blisters, dry skin",Dermatologist
"red eye, floaters, fever",Ophthalmologist
"muscle weakness, joint pain",Orthopedist
"swelling after exposure, fatigue, wheezing",Allergist/Immunologist
"chills, sore throat, cough",General Physician
"nasal congestion, weight gain",ENT Specialist
"shortness of breath, persistent cough, wheezing",Pulmonologist
"limited range of motion, muscle weakness, swelling",Orthopedist
"nausea, blood in stool",Gastroenterologist
"seizures, memory loss, slurred speech",Neurologist
"coughing blood, chest tightness, persistent cough, abdominal pain",Pulmonologist
"cough, cold, fatigue",General Physician
"irregular periods, pelvic pain, menstrual cramps",Gynecologist
weight gain,Pulmonologist
"cold intolerance, frequent urination",Endocrinologist
"fatigue, cough",General Physician
"swelling after exposure, itchy eyes, sneezing, fatigue",Allergist/Immunologist
chest tightness,Pulmonologist
"nausea, runny nose",General Physician
"chest pain, high blood pressure",Cardiologist
"cold, nausea",General Physician
"wheezing, hives, runny nose",Allergist/Immunologist
"fatigue, chills",General Physician
"headache, fever, chills",General Physician
"headache, seizures",Neurologist
"wheezing, hives",Allergist/Immunologist
"loss of appetite, nausea, body ache",General Physician
"weight gain, ear pain",ENT Specialist
"mild headache, nausea",General Physician
"menstrual cramps, irregular periods",Gynecologist
swelling after exposure,Allergist/Immunologist
"nasal congestion, sore throat, hearing loss, ear pain",ENT Specialist
"abdominal pain, blood in stool, nausea",Gastroenterologist
"nausea, chills",General Physician
chills,General Physician
sore throat,General Physician
"vaginal discharge, painful periods, irregular periods",Gynecologist
"limited range of motion, stiffness, muscle weakness, pelvic pain",Orthopedist
"cold, cough",General Physician
"sneezing, hives",Allergist/Immunologist
scaly patches,Dermatologist
